        Length / m                curve1_e-field (f=1) (2)/real
               1108.2684                      0.14854935
               1110.7645                      0.14831697
               1113.2606                      0.14808503
               1115.7567                       0.1478535
               1118.2528                      0.14762243
               1120.7489                      0.14739179
                1123.245                      0.14716155
               1125.7411                      0.14693158
               1128.2372                      0.14670191
               1130.7333                      0.14647254
               1133.2294                      0.14624347
               1135.7255                       0.1460147
               1138.2216                      0.14578625
               1140.7177                      0.14555809
               1143.2137                      0.14533023
               1145.7098                      0.14510268
               1148.2059                      0.14487543
                1150.702                       0.1446485
               1153.1981                      0.14442188
               1155.6943                      0.14419555
               1158.1904                      0.14396957
               1160.6865                      0.14374389
               1163.1826                      0.14351853
               1165.6787                      0.14329348
               1168.1748                      0.14306876
               1170.6709                      0.14284435
                1173.167                      0.14262027
               1175.6631                      0.14239652
               1178.1592                      0.14217309
               1180.6553                      0.14194999
               1183.1514                      0.14172722
               1185.6475                      0.14150479
               1188.1436                      0.14128268
               1190.6396                      0.14106091
               1193.1357                      0.14083947
               1195.6318                      0.14061836
               1198.1279                       0.1403976
                1200.624                      0.14017718
               1203.1201                       0.1399571
               1205.6163                      0.13973736
               1208.1124                      0.13951796
               1210.6085                      0.13929892
               1213.1046                      0.13908022
               1215.6007                      0.13886187
               1218.0968                      0.13864388
               1220.5929                      0.13842623
                1223.089                      0.13820895
               1225.5851                      0.13799202
               1228.0812                      0.13777544
               1230.5773                      0.13755923
               1233.0734                      0.13734338
               1235.5695                      0.13712791
               1238.0656                      0.13691278
               1240.5616                      0.13669803
               1243.0577                      0.13648364
               1245.5538                      0.13626963
               1248.0499                      0.13605598
                1250.546                      0.13584271
               1253.0421                      0.13562982
               1255.5383                       0.1354173
               1258.0344                      0.13520516
               1260.5305                      0.13499341
               1263.0266                      0.13478203
               1265.5227                      0.13457105
               1268.0188                      0.13436044
               1270.5149                      0.13415023
                1273.011                       0.1339404
               1275.5071                      0.13373097
               1278.0032                      0.13352193
               1280.4993                      0.13331329
               1282.9954                      0.13310506
               1285.4915                      0.13289708
               1287.9875                      0.13268938
               1290.4836                      0.13248194
               1292.9797                      0.13227479
               1295.4758                      0.13206788
               1297.9719                      0.13186127
                1300.468                      0.13165492
               1302.9642                      0.13144884
               1305.4603                      0.13124305
               1307.9564                      0.13103753
               1310.4525                       0.1308323
               1312.9486                      0.13062734
               1315.4447                      0.13042267
               1317.9408                      0.13021828
               1320.4369                      0.13001417
                1322.933                      0.12981036
               1325.4291                      0.12960681
               1327.9252                      0.12940358
               1330.4213                      0.12920061
               1332.9174                      0.12899796
               1335.4135                      0.12879558
               1337.9095                      0.12859351
               1340.4056                      0.12839173
               1342.9017                      0.12819024
               1345.3978                      0.12798906
               1347.8939                      0.12778817
                 1350.39                      0.12758759
               1352.8862                       0.1273873
               1355.3823                      0.12718731
               1357.8784                      0.12698765
               1360.3745                      0.12678827
               1362.8706                      0.12658922
               1365.3667                      0.12639046
               1367.8628                      0.12619203
               1370.3589                      0.12599391
                1372.855                       0.1257961
               1375.3511                      0.12559861
               1377.8472                      0.12540142
               1380.3433                      0.12520457
               1382.8394                      0.12500803
               1385.3354                      0.12481181
               1387.8315                      0.12461592
               1390.3276                      0.12442034
               1392.8237                       0.1242251
               1395.3198                      0.12403018
               1397.8159                       0.1238356
                1400.312                      0.12364135
               1402.8082                      0.12344741
               1405.3043                      0.12325383
               1407.8004                      0.12306057
               1410.2965                      0.12286766
               1412.7926                      0.12267508
               1415.2887                      0.12248284
               1417.7848                      0.12229094
               1420.2809                      0.12209939
                1422.777                      0.12190818
               1425.2731                      0.12171732
               1427.7692                      0.12152682
               1430.2653                      0.12133665
               1432.7614                      0.12114684
               1435.2574                      0.12095739
               1437.7535                      0.12076828
               1440.2496                      0.12057954
               1442.7457                      0.12039115
               1445.2418                      0.12020309
               1447.7379                      0.12001524
               1450.2341                      0.11982764
               1452.7302                      0.11964029
               1455.2263                      0.11945318
               1457.7224                      0.11926632
               1460.2185                       0.1190797
               1462.7146                      0.11889334
               1465.2107                      0.11870723
               1467.7068                      0.11852136
               1470.2029                      0.11833574
                1472.699                      0.11815038
               1475.1951                      0.11796527
               1477.6912                      0.11778042
